Fitness,Genome
57.0968,1010100110001110110011100110001010101110100111011110101000010000111011001110111001000010111000110111
58.0206,1010100110001110110011100110001010101110100111011110101000010000111010001110111001000010111000110111
58.6128,1100110111001101110110110001010101100110111001110000111010000111010111111111001110010010011101110000
59.6746,0001111000011100001010101000001001011010011100000010111100011100101000010000001010011000110001110001
60.6773,1001111000111111111010011010110001010000011111110000001101101010110100010100100101100010000000111111
61.7343,1000100110001100110010100110001010101110000111111110111000010010111011001110111001000010110000111111
62.6581,1000100110001100110010100110001010101110000111111110111000010010111010001110111001000010110000111111
62.9174,1001100110001100110010100111001010101110000110011110111000000000111011001110111001000010110000111111
63.8669,0101111000011100000010101000001001011011001101000010111100011100101010010000001010011010110001110001
64.6341,1000100011001110110001100100001010100111100110111110101000010000111010001110111001001010111000110011
64.9036,1001100111001110110001100100001010100111100110111110101000010000111010001110111001001010111000110011
65.7503,0101111000011100000010101000001011111011011100000010111100011000101010010000001010010010110001110001
65.9387,1001111000111011111010011010111101110000011111110000101101101010110100000100100101100010000000111111
66.7312,1000110111001110110001100100001010100010100110011110111000010010111010001110111001001010111000110011
67.0229,1000110100001110110001100110010010100111100110011110101000010010111010001110111000000010110000110011
67.2435,1000110111001110110001100100001010100011100110011110111000010010111010001110111001001010111000110011
67.6229,1000111100001110110001100110010010110111100110011110101000010010111010001110111000000010110000110011
67.8897,1000110100001100110001100110010010000111100110011110101000010010111010001110111000000010110000110011
68.3251,1000110100001110110001100100010010110111100110011110101000010010111010001110111000000010110000110011
68.4321,0101111000011100000010101000101011011011011100000000111101101100111010010000001110110010110000110001
69.005,0101111000001100000010101000001011011011011000000110111100011010111010010000001011010010110001110001
69.734,0101111100011100011010101000001011011011100110100110111100110100101010010000001110100010110000110001
69.9146,0101111100011100011010101000001011011011100110100110111100110100101010000000001110100010110001110001
70.2738,0101111100011100010010101000001011011011100110100110111100110100101010010000001110100010110000110001
70.438,0101111100011100011110101000001011011011100110100110111100110100101010000000001110100010110000110001
70.7074,0101111100011100011010101000001011011011100110100110111100110100111010000000001110100010110000110001
70.9366,0101111100011100011110101000011011011011100110100110111100110100111010000000001110100010110000110001
70.9941,0101111000001100000010101000001011011011011100000000111101101000111010000100001110110010110000110001
71.2083,0101111000001100000010101000101011011011001101000000111101101010111010000000001110100010110000110001
71.2814,0101111000001100000010101000101011011011001101000000101101101010111010000000001110100010110000110001
71.4691,0101111100001100011110101000011011011011100110100110111100110100111010000000001110100010110000110001
71.815,0101111000001100000010101000101011011011011101000000111101101010111010000000001110100010110000110001
71.926,0101111000001100000010101000101011011011011101000000111101101010111010000100001110100010110000110001
71.926,0101111000001100000010101000101011011011011101000000111101101010111010000100001110100010110000110001
72.141,0101111000001100000010101000001011011011011101000000111101101010111010000000001110100010110000110001
72.141,0101111000001100000010101000001011011011011101000000111101101010111010000000001110100010110000110001
72.3097,0101111100001100000010101000001011011011110110010110111100110100111010010000001110100010110000110001
72.34,0101111000001100000010101000110011011011011101000000111101101010111010000000001110100010110000110001
72.34,0101111000001100000010101000110011011011011101000000111101101010111010000000001110100010110000110001
72.551,0101111100001100000010101000001011011011110100110110101100110100111010000000001110100010110000110001
72.6955,0101111100001100000010101000001011011011110110010110111100110100111010000000001110100010110000110001
72.6955,0101111100001100000010101000001011011011110110010110111100110100111010000000001110100010110000110001
72.6955,0101111100001100000010101000001011011011110110010110111100110100111010000000001110100010110000110001
73.0494,0101111100001100000010101000001011011011110000110110101100110100111010000000001110100010110000100001
73.0494,0101111100001100000010101000001011011011110000110110101100110100111010000000001110100010110000100001
73.0494,0101111100001100000010101000001011011011110000110110101100110100111010000000001110100010110000100001
73.0494,0101111100001100000010101000001011011011110000110110101100110100111010000000001110100010110000100001
73.1969,0101111100001100000010101000001011011011110000110110111100110100111010000000001110100010110000100001
73.2051,0101111100001100000010101000001011011011110000110000101100110100111010000000001110100010110000100001
73.2492,0101111000001100000010101000001011011011110000110110101100110100111010000100001110100010110000100001
73.2953,0101111100001100000010101000001011011011110000110110111100110100111010000000001110100010110000110001
73.308,0101111100001100000010101000001011011011110000110110111100110100111010000100001110100010110000100001
73.308,0101111100001100000010101000001011011011110000110110111100110100111010000100001110100010110000100001
73.384,0101111000001100000010101000001011011011110000110110111100110100111010000000001110100010110000110001
73.4064,0101111100001100000010101000001011011011110000110110111100110100111010000100001110100010110000110001
73.4064,0101111100001100000010101000001011011011110000110110111100110100111010000100001110100010110000110001
73.4064,0101111100001100000010101000001011011011110000110110111100110100111010000100001110100010110000110001
